Pregunta,Respuesta
"¿Qué son las Buenas Prácticas de Manufactura de Dispositivos Médicos, BPM?","Procedimientos y métodos utilizados para asegurar la calidad durante la manufactura, el empaque, almacenamiento y la instalación de los dispositivos médicos para uso humano. Estos procedimientos se refieren a la estructura organizacional, responsabilidades, procesos y recursos para implementar los requisitos de calidad asociados con el dispositivo médico."
¿Qué es un Dispositivo Médico Activo?," Es cualquier dispositivo médico cuyo funcionamiento dependa de una fuente de energía eléctrica o de cualquier fuente de energía distinta de la generada directamente por el cuerpo humano o por la gravedad, y que actúa mediante la conversión de dicha energía."
¿Qué es un Dispositivo Médico Activo Terapéutico?," Es cualquier dispositivo médico activo utilizado sólo o en combinación con otros dispositivos médicos, destinado a sostener, modificar, sustituir o restaurar funciones o estructuras biológicas en el contexto del tratamiento o alivio de una enfermedad, lesión o deficiencia."
¿Qué es Equipo biomédico?,"Dispositivo médico operacional y funcional que reúne sistemas y subsistemas eléctricos, electrónicos o hidráulicos, incluidos los programas informáticos que intervengan en su buen funcionamiento, destinado por el fabricante a ser usado en seres humanos con fines de prevención, diagnóstico, tratamiento o rehabilitación. "
¿Cómo se clasifican los dispositivos médicos?,"Clase I. Son aquellos dispositivos médicos de bajo riesgo, sujetos a controles generales,
no destinados para proteger o mantener la vida o para un uso de importancia especial en la
prevención del deterioro de la salud humana y que no representan un riesgo potencial no
razonable de enfermedad o lesión.

Clase IIA. Son los dispositivos médicos de riesgo moderado, sujetos a controles especiales
en la fase de fabricación para demostrar su seguridad y efectividad.
Clase IlB. Son los dispositivos médicos de riesgo alto, sujetos a controles especiales en el
diseño y fabricación para demostrar su seguridad y efectividad.

Clase III. Son los dispositivos médicos de muy alto riesgo sujetos a controles especiales,
destinados a proteger o mantener la vida o para un uso de importancia sustancial en la
prevención del deterioro de la salud humana, o si su uso presenta un riesgo potencial de
enfermedad o lesión."
¿Qué es un Registro Sanitario?,"Es el documento público expedido por el Invima, cuando el usuario cumple con los requisitos técnicos, científicos, sanitarios y legales establecidos en el decreto 4725 de 2005, el cual faculta a una persona natural o jurídica para producir, comercializar, importar, exportar, envasar, empaque, procesar, expender y/o almacenar un dispositivo médico."
155. ¿Qué consecuencias puede acarrear el uso inadecuado de dispositivos médicos?,"Puede ocasionar daños no intencionados al paciente, al operador o al medio ambiente; Estos se conocen como incidentes o eventos adversos.
"
¿Qué es un Evento adverso serio?,"
Evento adverso serio: Evento no intencionado que pudo haber llevado a la muerte o al
deterioro serio de la salud del paciente, operador o todo aquel que se vea implicado directa o
indirectamente, como consecuencia de la utilización de un dispositivo médico. Se considera como deterioro serio de la salud:
a) Muerte.
b) Enfermedad o daño que amenace la vida.
c) Daño de una función o estructura corporal.
d) Condición que requiera una intervención médica o quirúrgica para prevenir un daño
permanente de una estructura o función corporal.
e) Evento que lleve a una incapacidad permanente parcial.
f ) Evento que necesite una hospitalización o una prolongación en la hospitalización.
g) Evento que sea el origen de una malformación congénita.
"
¿Qué es un Evento adverso no serio?,"
Evento adverso no serio: Evento no intencionado, diferente a los que pudieron haber llevado a la muerte o al deterioro serio de la salud del paciente, operador o todo aquel que se vea implicado directa o indirectamente, como consecuencia de la utilización de un dispositivo o aparato de uso médico.
"
¿Qué es un Incidente adverso serio?,"
Incidente adverso serio: Potencial riesgo de daño no intencionado que pudo haber
llevado a la muerte o al deterioro serio de la salud del paciente, pero que por causa del azar
o la intervención de un profesional de la salud u otra persona, o una barrera de seguridad, no
generó un desenlace adverso."
¿Qué es un Incidente adversono  serio?,"Incidente adverso no serio: Potencial riesgo de daño no intencionado diferente a los que
pudieron haber llevado a la muerte o al deterioro serio de la salud del paciente, pero que por
causa del azar o la intervención de un profesional de la salud u otra persona, o una barrera de
seguridad, no generó un desenlace adverso."
"¿Cuáles son las normas que en Colombia reglamentan el régimen sanitario y la vigilancia
de los dispositivos médicos?","El Decreto 4725 de 2005 determina el régimen de registros sanitarios, permiso de
comercialización y vigilancia sanitaria de los dispositivos médicos para uso humano. 

La Resolución 1043 de 2006, “por la cual se establecen las condiciones que deben cumplir los
prestadores de servicios de salud para habilitar sus servicios e implementar el componente de
auditoría para el mejoramiento de la calidad de la atención y se dictan otras disposiciones. 

La Resolución 4816 de 2008 reglamenta el Programa Nacional de Tecnovigilancia. "
¿Qué es el reporte de incidentes y eventos adversos?,"Se trata del registro de la ocurrencia de un evento o incidente adverso, en un formato
preestablecido que es diligenciado por el profesional de la salud u otro reportante, donde se
consigna toda la información relevante relacionada con el problema de seguridad presentado
con el uso de un dispositivo médico en la atención a un paciente."
¿Por qué es importante el reporte de un evente o incidente adverso serio o no serio ?,Radica en que a partir de dicha información la autoridad sanitaria y demás responsables pueden tomar medidas necesarias para garantizar la salud de los usuarios de estos productos. 
¿Es obligatorio el reporte de los incidentes y eventos aversos?,Todos los reportes periódicos son obligatorios a partir del mes de noviembre del año 2012; la ocurrencia de un incidente o evento adverso debe ser reportada dentro de las 72 horas a la ocurrencia del hecho.
¿Qué es la historia natural de la enfermedad?,"Es la evolución natural de una enfermedad sin intervención médica, desde la interacción inicial entre el agente, el huésped y el ambiente, hasta su resolución, que puede ser la recuperación, la cronicidad o la muerte.
"
¿Cuáles son las etapas de la historia natural de la enfermedad?,"1.	Periodo prepatogénico: Es el estado previo a la aparición de la enfermedad, en el que el agente, el huésped y el ambiente interactúan, y aún no hay síntomas.

2.	Periodo patogénico: Comienza con la interacción inicial del agente con el huésped, lo que puede llevar a cambios subclínicos, manifestaciones clínicas y desenlace final (curación, cronicidad o muerte)."
¿Qué componentes intervienen en el periodo prepatogénico de la historia natural de la enfermedad?,"1. Agente: El factor causante de la enfermedad, como virus, bacterias, sustancias químicas o factores físicos.
2. 	Huésped: El organismo susceptible, con características como edad, sexo, genética, estado inmunológico y hábitos.
3. 	Ambiente: Factores externos que pueden facilitar o impedir la aparición de la enfermedad, como el clima, condiciones sanitarias y socioculturales.
"
¿Qué caracteriza el periodo patogénico  de la historia natural de la enfermedad?,"La aparición de cambios en el organismo que pueden ser detectados mediante pruebas diagnósticas (fase subclínica) y posteriormente síntomas visibles (fase clínica).

"
¿Qué son los niveles de prevención de la enfermedad?,"Son las estrategias aplicadas para evitar la aparición, progresión o complicaciones de las enfermedades, basadas en la etapa de la historia natural en la que se actúa.
"
170.¿Cuáles son los niveles de prevención de la enfermdadad?,"
1. 	Prevención primaria: Se realiza en el periodo prepatogénico, con acciones para evitar la aparición de enfermedades. Incluye la promoción de la salud (educación, hábitos saludables) y protección específica (vacunación, uso de equipos de protección).
2. 	Prevención secundaria: Se lleva a cabo en el periodo patogénico temprano, con el objetivo de detectar y tratar enfermedades de manera precoz, evitando su progresión. Ejemplo: exámenes médicos periódicos, tamizajes.
3.	Prevención terciaria: Busca limitar las secuelas y rehabilitar al paciente tras la enfermedad, mejorando su calidad de vida. Ejemplo: fisioterapia, programas de reintegración social.
"
¿Cómo se relaciona la prevención primaria con el periodo prepatogénico?,"La prevención primaria actúa antes de que se presente la enfermedad, eliminando o reduciendo los factores de riesgo y fortaleciendo los mecanismos de defensa del huésped.
"
¿Qué es el Plan Decenal de Salud Pública 2022-2031?,"Es una política pública del Estado colombiano que establece las estrategias y acciones prioritarias para mejorar la salud de la población durante un período de 10 años (2022-2031). 
Su enfoque es garantizar el derecho a la salud, reducir las inequidades, y abordar los determinantes sociales de la salud. Está alineado con los Objetivos de Desarrollo Sostenible (ODS) y prioriza la participación comunitaria.

"
¿Cuáles son los objetivos principales del Plan Decenal de Salud Pública 2022-2031?,"1. Promover la equidad en salud reduciendo las brechas entre grupos poblacionales.  
2. Fortalecer la capacidad del sistema de salud pública para prevenir enfermedades y responder a emergencias.  
3. Abordar los determinantes sociales y ambientales de la salud.  
4. Fomentar estilos de vida saludables y el bienestar integral de las personas.  
5. Aumentar la participación social en la gestión de la salud pública."
¿Cuáles son los enfoques diferenciales del Plan Decenal de Salud Pública 2022-2031?,"Enfoque de género: Promueve la igualdad de género y aborda las desigualdades que afectan a mujeres, hombres y personas no binarias.  
Enfoque étnico: Reconoce las necesidades particulares de comunidades indígenas, afrocolombianas, raizales y otras etnias.  
Enfoque territorial: Adapta las estrategias a las características de cada región.  
Enfoque de ciclo de vida: Considera las necesidades específicas de cada etapa de vida, desde la niñez hasta la vejez.
"
¿Qué retos busca abordar el Plan Decenal de Salud Pública 2022-2031?," 1. La creciente carga de enfermedades crónicas no transmisibles.  
2. La inseguridad alimentaria y la desnutrición.  
3. Las inequidades en el acceso a servicios de salud entre áreas urbanas y rurales.  
4. Los efectos del cambio climático en la salud pública.  
5. La necesidad de mejorar los sistemas de vigilancia epidemiológica y respuesta a emergencias sanitarias.

"
¿Qué papel tiene la participación ciudadana en el  Plan Decenal de Salud Pública?,"La participación ciudadana es un pilar fundamental del plan. Busca empoderar a las comunidades para que participen activamente en la planeación, implementación y evaluación de las estrategias de salud pública, esto incluye la creación de mesas de trabajo comunitarias, la promoción de liderazgos locales y la inclusión de organizaciones sociales en la toma de decisiones.
"
¿Cuáles son las líneas estratégicas del  Plan Decenal de Salud Pública?,"1. Salud ambiental y cambio climático.  
2. Estilos de vida saludables.  
3. Salud mental y convivencia social.  
4. Salud sexual y reproductiva.  
5. Prevención de enfermedades transmisibles y no transmisibles.  
6. Seguridad alimentaria y nutricional.  
7. Respuesta a emergencias sanitarias."
¿Cómo fortalece la Resolución 2367 la atención primaria en salud?,"1. Promueve la creación de Redes Integradas de Salud, el fortalecimiento de la infraestructura y la implementación de Centros de Atención Primaria en Salud (CAPS).
2. Fomenta la coordinación intersectorial y la telemedicina para garantizar el acceso universal y adecuado a los servicios de salud.
"
¿Qué papel juega el Talento Humano en Salud de acuerdo a lo establecido en la resolución 2367 de 2023?,"Destaca la importancia del Talento Humano en Salud como elemento esencial para el acceso universal a la salud. Propone estrategias para mejorar la distribución, formación y condiciones laborales del personal sanitario, así como fortalecer el trabajo colaborativo interprofesional."
¿Qué aspectos regula la Resolución 100 de 2024?,"Establece disposiciones sobre la Planeación Integral para la Salud en Colombia. Esto incluye la definición, implementación y evaluación de los Planes Territoriales de Salud (PTS), en alineación con el Plan Decenal de Salud Pública 2022-2031 y el modelo de salud preventiva y predictiva basado en la Atención Primaria en Salud. Esta resolución reemplaza la Resolución 1536 de 2015 para modernizar la gestión sanitaria en el país.
"
¿Cuáles son los principales actores involucrados según la resolución 100 de 2024?,"1. Incluyen entidades territoriales (departamentales, distritales y municipales).
2. Entidades Promotoras de Salud (EPS).
3. Instituciones Prestadoras de Servicios de Salud (IPS).
4. Empresas Sociales del Estado y Administradoras de Riesgos Laborales (ARL).
"
¿Qué objetivos tiene la Planeación Integral para la Salud?,"
   1. Fortalecer la gobernabilidad y gobernanza democrática de la salud.  
   2. Reducir inequidades en salud mediante políticas basadas en datos específicos del territorio.  
   3. Garantizar el derecho fundamental a la salud en todas las regiones del país.
"
¿Qué se requiere para formular un Plan Territorial de Salud?,"1. Analizar las condiciones de salud local.
2. Establecer un componente operativo y financiero. 
3. Garantizar la participación activa de comunidades, incluidas aquellas indígenas y afrodescendientes. 
4. Estará alineado con los planes nacionales y regionales existentes, como el Plan Nacional de Desarrollo y el Plan Decenal de Salud Pública."
"¿Cómo se liquida el oxigeno que es administrado durante el proceso de atencion al usuario?
","El fundamento normativo para la liquidación de oxígeno se encuentra en los siguientes artículos del Acuerdo 256 de 2001: 
ARTICULO 54. OXIGENO FACTURABLE EN ESTANCIA Las tarifas de la estancia en cualquiera de los servicios de internación no incluye el consumo de oxígeno medicinal, que se pagará de acuerdo con las tarifas establecidas en el Artículo 91 de este Manual.
ARTICULO 85. OXIGENO NO FACTURABLE EN QUIRÓFANO NI SALA DE RECUPERACIÓN Los materiales de sutura, curación, que se relacionan en el parágrafo 6 de este Artículo, el oxígeno, agentes y gases anestésicos, que se consuman en el quirófano y en la sala de recuperación, se pagarán de acuerdo con los siguientes valores, según el número de Unidades de Valor Relativo asignadas a la intervención quirúrgica o procedimiento realizado...
ARTICULO 91. LIQUIDACIÓN DE OXÍGENO El oxígeno según el sistema utilizado para su administración que se consuma en la atención de los pacientes en cualquiera de los servicios de internación o ambulatorios, se pagará de acuerdo con los siguientes consumos por hora o fracción superior a media hora. Utilización de un equipo diferente: En el evento que se utilice un equipo o elemento diferente a los relacionados en este artículo, el consumo efectivo se establecerá con base en el tiempo y el volumen real de consumo, según los registros en la historia clínica del paciente.  
La Fórmula para determinar la cantidad a facturar en metros cúbicos es:
(1) Cantidad de Oxígeno en metros cúbicos = Factor del equipo X Cantidad de Horas
(2) Cantidad de Oxígeno en litros = Factor del equipo X Cantidad de Horas X 1000"
